header	date
hCoV-19/USA/NY-URMC-21095441-1/2021|EPI_ISL_12239772.1|2021-09-27	2021-09-27
hCoV-19/USA/NY-PRL-2021_0917_04C13/2021|EPI_ISL_4514453.1|2021-09-14	2021-09-14
hCoV-19/USA/NY-PRL-2021_0917_01D04/2021|EPI_ISL_4513992.1|2021-09-11	2021-09-11
hCoV-19/USA/NY-PRL-2021_0917_01C08/2021|EPI_ISL_4513978.1|2021-09-11	2021-09-11
hCoV-19/USA/MD-IGS-072123001077A/2021|EPI_ISL_4469056.1|2021-08-18	2021-08-18
hCoV-19/USA/NY-PRL-2021_0917_00I04/2021|EPI_ISL_4513935.1|2021-09-14	2021-09-14
hCoV-19/USA/MD-IGS-012128601703A/2021|EPI_ISL_6437387.1|2021-10-13	2021-10-13
hCoV-19/USA/MD-HP08919-PIDUAYDJDI/2021|EPI_ISL_4418710.1|2021-08-20	2021-08-20
hCoV-19/USA/MD-HP08913-PIDKABSONH/2021|EPI_ISL_4418709.1|2021-08-20	2021-08-20
hCoV-19/USA/MD-HP08912-PIDZMKLOCK/2021|EPI_ISL_4418681.1|2021-08-22	2021-08-22
hCoV-19/USA/MD-HP08909-PIDWRIVAPT/2021|EPI_ISL_4418680.1|2021-08-22	2021-08-22
hCoV-19/USA/MD-HP09345-PIDMVHCLIR/2021|EPI_ISL_4418376.1|2021-09-10	2021-09-10
hCoV-19/USA/PA-VSP5162/2021|EPI_ISL_3411935.1|2021-06-26	2021-06-26
hCoV-19/USA/MD-HP08078-PIDOBZZVSP/2021|EPI_ISL_3373196.1|2021-08-07	2021-08-07
hCoV-19/USA/MD-HP08028-PIDRYGWBRF/2021|EPI_ISL_3373197.1|2021-07-24	2021-07-24
hCoV-19/USA/NY-PRL-2021_0803_01H10/2021|EPI_ISL_3331942.1|2021-07-28	2021-07-28
hCoV-19/USA/NY-PRL-2021_1112_00A05/2021|EPI_ISL_6571559.1|2021-11-08	2021-11-08
hCoV-19/USA/MD-IGS-132129000213A/2021|EPI_ISL_6494587.1|2021-10-17	2021-10-17
hCoV-19/USA/MD-IGS-122128801377A/2021|EPI_ISL_6494553.1|2021-10-15	2021-10-15
hCoV-19/USA/PA-Jefferson_COVIDSeq12_S28/2021|EPI_ISL_3142954.1|2021-06-23	2021-06-23
hCoV-19/USA/MD-IGS-52127501880A/2021|EPI_ISL_6469956.1|2021-10-02	2021-10-02
hCoV-19/USA/MD-HP23594-PIDRHLXJAK/2021|EPI_ISL_8638686.1|2021-12-29	2021-12-29
hCoV-19/USA/PA-CDC-LC0084848/2021|EPI_ISL_2927700.1|2021-06-27	2021-06-27
hCoV-19/USA/PA-CDC-LC0084763/2021|EPI_ISL_2927647.1|2021-06-25	2021-06-25
hCoV-19/USA/PA-CDC-LC0086019/2021|EPI_ISL_2926975.1|2021-06-24	2021-06-24
hCoV-19/USA/PA-0977/2021|EPI_ISL_10658709.1|2021-10-22	2021-10-22
hCoV-19/USA/PA-0785/2021|EPI_ISL_10658517.1|2021-10-01	2021-10-01
hCoV-19/USA/PA-0696/2021|EPI_ISL_10658428.1|2021-09-24	2021-09-24
hCoV-19/USA/PA-0659/2021|EPI_ISL_10658391.1|2021-09-24	2021-09-24
hCoV-19/USA/PA-0648/2021|EPI_ISL_10658380.1|2021-09-24	2021-09-24
hCoV-19/USA/NY-Wadsworth-21101846-01/2021|EPI_ISL_7136890.1|2021-11-09	2021-11-09
hCoV-19/USA/MD-IGS-072122600476A/2021|EPI_ISL_4463036.1|2021-08-14	2021-08-14
hCoV-19/USA/MD-HP09290-PIDGTBCFLF/2021|EPI_ISL_4418395.1|2021-09-08	2021-09-08
hCoV-19/USA/PA-CDC-QDX25848181/2021|EPI_ISL_2871000.1|2021-06-11	2021-06-11
